name,ts,r95,eflux100,glat,glon,nbb,delta,variability,pindex,curvature,singlat,category,uwname
4FGL J2258.6+5847,29.6814,0.0552839,1.29772e-12,-1.08707,108.372,4,0.408097,4.51916,1.85456,0.161038,-0.0189718,other,J2256.4+5829
4FGL J2259.7-3549,132.969,0.0594096,2.41363e-12,-64.7694,5.8817,1,0.0227251,9.49707,2.27166,0.0467698,-0.904599,fsrq,J2259.7-3548
4FGL J2259.8-1552,298.314,0.0380034,3.2943e-12,-61.8153,50.7113,6,0.0279202,55.6629,2.03223,0.175819,-0.881429,bcu,J2259.9-1552
4FGL J2300.1+4053,56.9393,0.0553628,1.32863e-12,-17.2547,101.26,3,0.016002,17.9746,1.75143,0.120419,-0.296621,bll,J2300.2+4053
4FGL J2300.3+3136,1049.94,0.019199,7.70556e-12,-25.5751,96.8394,1,0.00656105,13.2565,1.83782,0.128079,-0.431694,bll,J2300.3+3136
4FGL J2300.3-6401,39.7529,0.239465,1.76713e-12,-47.3263,319.906,2,1.84435,18.8642,2.88555,0.043628,-0.735225,unid,J2255.9-6548
4FGL J2300.7-2645,69.0271,0.0678732,1.95735e-12,-65.3494,27.4348,22,0.0244062,55.7228,2.43232,0.0360178,-0.908868,fsrq,J2300.6-2644
4FGL J2300.8-0736,81.0513,0.0416566,1.98462e-12,-57.3405,64.5333,14,0.0297759,14.8554,2.00471,-0.0368672,-0.841893,bcu,J2300.9-0735
4FGL J2300.9+7108,134.655,0.0322041,1.91093e-12,10.1707,114.178,1,0.00200742,23.0702,2.0348,0.310785,0.176581,bcu,J2301.0+7108
4FGL J2301.0-0158,2888.81,0.0199763,1.82038e-11,-53.5271,71.8139,30,0.0161131,1108.32,2.29813,0.0801629,-0.804138,fsrq,J2301.1-0158
4FGL J2301.7+0608,57.795,0.0886468,1.41449e-12,-47.4454,80.3176,7,4.59265e-05,63.6365,1.31814,0.410772,-0.736633,bcu,J2301.7+0608
4FGL J2301.8+6235,72.8115,0.165212,7.15723e-12,2.3118,110.705,1,0.0519539,4.09017,1.86414,0.382057,0.0403375,unid,J2302.0+6233
4FGL J2302.1-1446,34.867,0.0647294,1.31323e-12,-61.742,53.367,11,0.0346763,14.9264,2.22469,-0.0453599,-0.880824,unid,J2302.2-1444
4FGL J2302.2+3721,33.3017,0.152116,1.39819e-12,-20.6025,100.016,3,3.46703e-05,12.4079,2.47666,0.383046,-0.351882,unid,J2302.2+3721
4FGL J2302.4-3545,35.5698,0.155504,1.15565e-12,-65.3106,5.71792,3,3.84743e-05,16.8124,1.65194,0.419128,-0.908586,unid,J2302.4-3545
4FGL J2302.7+4443,13092.2,0.0114737,3.72028e-11,-13.9999,103.401,2,0.00790691,6.01009,1,0.286094,-0.24192,psr,J2302.7+4442
